<2024-01-08 15:54:20> Load machine configuration '../userdata/conf/machine.xml'
<2024-01-08 15:54:28> Load machine configuration '..\userdata\conf\machine_geov5.xml'
<2024-01-08 15:54:28> BT1 = X:-46.55967999999999, Y:13.754999999999994, T:-90.0, Val:CR2032, Mod:WURTH_CR2032_79527141
C58 = X:-13.169999999999998, Y:20.668000000000003, T:0.0, Val:2.2uF 6.3V, Mod:C_0805_2012Metric
C59 = X:-19.804500000000004, Y:34.163000000000004, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C60 = X:-13.962916000000005, Y:26.474681000000004, T:90.0, Val:10uF, Mod:C_0805_2012Metric
C61 = X:-35.235, Y:35.145999999999994, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C62 = X:-23.678000000000004, Y:43.179999, T:180.0, Val:100nF, Mod:C_0805_2012Metric
C63 = X:-26.345000000000002, Y:25.399998999999998, T:0.0, Val:100nF, Mod:C_0805_2012Metric
C64 = X:-20.312916, Y:29.209999, T:-90.0, Val:220nF, Mod:C_0805_2012Metric
C65 = X:-30.188, Y:25.399998999999994, T:180.0, Val:270nF, Mod:C_0805_2012Metric
C66 = X:-35.235, Y:29.557999999999996, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C67 = X:-16.96720000000001, Y:43.800000000000004, T:-90.0, Val:NM, Mod:C_0805_2012Metric
C68 = X:-15.867916000000001, Y:40.538681000000004, T:0.0, Val:2.2uF 6.3V, Mod:C_0805_2012Metric
C69 = X:-27.488, Y:43.179999, T:180.0, Val:1.5uF, Mod:C_0805_2012Metric
C70 = X:-31.204000000000008, Y:39.717999999999996, T:0.0, Val:100nF, Mod:C_0805_2012Metric
C71 = X:-13.170000000000003, Y:46.068000000000005, T:0.0, Val:2.2uF 6.3V, Mod:C_0805_2012Metric
C72 = X:-19.804500000000008, Y:59.563, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C73 = X:-13.96291600000001, Y:51.874680000000005, T:90.0, Val:10uF, Mod:C_0805_2012Metric
C74 = X:-35.23500000000001, Y:60.546, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C75 = X:-23.678000000000008, Y:68.58, T:180.0, Val:100nF, Mod:C_0805_2012Metric
C76 = X:-26.34500000000001, Y:50.800000000000004, T:0.0, Val:100nF, Mod:C_0805_2012Metric
C77 = X:-20.312916000000005, Y:54.61, T:-90.0, Val:220nF, Mod:C_0805_2012Metric
C78 = X:-30.188000000000006, Y:50.8, T:180.0, Val:270nF, Mod:C_0805_2012Metric
C79 = X:-35.235, Y:54.95799999999999, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C80 = X:-16.916400000000007, Y:69.0984, T:-90.0, Val:NM, Mod:C_0805_2012Metric
C81 = X:-15.867916000000006, Y:65.938681, T:0.0, Val:2.2uF 6.3V, Mod:C_0805_2012Metric
C82 = X:-27.488000000000003, Y:68.58, T:180.0, Val:1.5uF, Mod:C_0805_2012Metric
C83 = X:-31.20400000000001, Y:65.117999, T:0.0, Val:100nF, Mod:C_0805_2012Metric
C84 = X:-13.170000000000007, Y:71.468, T:0.0, Val:2.2uF 6.3V, Mod:C_0805_2012Metric
C85 = X:-20.368916000000013, Y:84.020681, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C86 = X:-7.384000000000014, Y:75.89268100000001, T:180.0, Val:2.2uF 6.3V, Mod:C_0805_2012Metric
C87 = X:-7.3840000000000146, Y:78.432681, T:180.0, Val:0R, Mod:C_0805_2012Metric
C88 = X:-30.244000000000007, Y:75.166, T:180.0, Val:270nF, Mod:C_0805_2012Metric
C89 = X:-34.815000000000005, Y:84.33770000000001, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C90 = X:-34.81600000000001, Y:78.72200000000001, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C91 = X:-27.450000000000014, Y:91.93, T:0.0, Val:1.5uF, Mod:C_0805_2012Metric
C92 = X:-11.98691600000001, Y:84.782681, T:90.0, Val:0R, Mod:C_0805_2012Metric
C93 = X:-31.260000000000016, Y:88.882, T:0.0, Val:100nF, Mod:C_0805_2012Metric
C94 = X:-67.37104000000001, Y:105.9585, T:180.0, Val:10uF, Mod:C_0805_2012Metric
C95 = X:-12.39, Y:0.8850000000000028, T:90.0, Val:2.2uF, Mod:C_0603_1608Metric
C96 = X:-12.365, Y:26.297500000000003, T:90.0, Val:2.2uF, Mod:C_0603_1608Metric
C97 = X:-12.390000000000011, Y:51.722500000000004, T:90.0, Val:2.2uF, Mod:C_0603_1608Metric
C98 = X:-67.37104000000001, Y:103.79949999999998, T:180.0, Val:10uF, Mod:C_0805_2012Metric
C99 = X:-72.23, Y:83.4764, T:0.0, Val:4.7uF 16V, Mod:C_0805_2012Metric
D1 = X:-40.227180000000004, Y:31.664999999999996, T:0.0, Val:BAT54S, Mod:SOT-23
D2 = X:-40.25885999999999, Y:27.057599999999994, T:0.0, Val:LED, Mod:LED_0805
D3 = X:-51.87968000000002, Y:134.275, T:-90.0, Val:Zener 4.3V, Mod:D_SOD-123F
D4 = X:-45.637400000000014, Y:124.59899999999999, T:0.0, Val:B340B-13-F, Mod:D_SMB
D5 = X:-28.48604000000002, Y:132.124, T:0.0, Val:6.5V TVS, Mod:D_SMA
J13 = X:-45.79000000000001, Y:79.36000000000001, T:-90.0, Val:PT, Mod:tp_smd_S1751-46R
J14 = X:-8.979110331348394e-15, Y:48.88, T:-90.0, Val:PT, Mod:tp_smd_S1751-46R
