<2024-01-08 15:54:20> Load machine configuration '../userdata/conf/machine.xml'
<2024-01-08 15:54:28> Load machine configuration '..\userdata\conf\machine_geov5.xml'
<2024-01-08 15:54:28> BT1 = X:-46.55967999999999, Y:13.754999999999994, T:-90.0, Val:CR2032, Mod:WURTH_CR2032_79527141
R125 = X:-27.450000000000014, Y:88.882, T:180.0, Val:1.3K, Mod:R_0805_2012Metric
R126 = X:-9.700916000000015, Y:84.782681, T:90.0, Val:NM, Mod:R_0805_2012Metric
R127 = X:-31.260000000000016, Y:91.93, T:180.0, Val:1.43K, Mod:R_0805_2012Metric
R128 = X:-7.860000000000008, Y:48.45, T:180.0, Val:2.2M, Mod:R_0805_2012Metric
R129 = X:-6.985000000000011, Y:65.1614, T:90.0, Val:2.2M, Mod:R_0805_2012Metric
R130 = X:-7.410320000000014, Y:80.57172, T:180.0, Val:120K 1%, Mod:R_0805_2012Metric
R131 = X:-40.390000000000015, Y:120.96000000000001, T:90.0, Val:1M 1%, Mod:R_0805_2012Metric
R132 = X:-51.81600000000002, Y:88.7764, T:0.0, Val:1K 1%, Mod:R_0805_2012Metric
R133 = X:-47.904400000000024, Y:92.7388, T:180.0, Val:1M 1%, Mod:R_0805_2012Metric
R134 = X:-66.70040000000002, Y:91.6536, T:0.0, Val:47K, Mod:R_0805_2012Metric
R135 = X:-63.29680000000002, Y:91.6536, T:180.0, Val:47K, Mod:R_0805_2012Metric
R136 = X:-52.933600000000006, Y:85.7608, T:180.0, Val:10K 1%, Mod:R_0805_2012Metric
R137 = X:-69.24040000000001, Y:88.24999999999999, T:90.0, Val:47K, Mod:R_0805_2012Metric
R138 = X:-59.84240000000001, Y:89.62159999999999, T:0.0, Val:10K 1%, Mod:R_0805_2012Metric
R139 = X:-62.53480000000002, Y:88.19919999999999, T:90.0, Val:10K 1%, Mod:R_0805_2012Metric
R140 = X:-7.66000000000001, Y:73.65, T:180.0, Val:2.2M, Mod:R_0805_2012Metric
R141 = X:-7.760000000000014, Y:87.65, T:0.0, Val:2.2M, Mod:R_0805_2012Metric
R142 = X:-7.9600000000000115, Y:95.6, T:180.0, Val:2.2M, Mod:R_0805_2012Metric
R143 = X:-13.21000000000001, Y:88.2, T:180.0, Val:10K 1%, Mod:R_0805_2012Metric
R144 = X:-16.510000000000016, Y:88.2, T:0.0, Val:10K 1%, Mod:R_0805_2012Metric
R145 = X:-13.160000000000013, Y:91.5, T:180.0, Val:0R, Mod:R_0805_2012Metric
R146 = X:-51.88968000000001, Y:129.3725, T:-90.0, Val:1K 1%, Mod:R_0805_2012Metric
R158 = X:-54.06968000000002, Y:133.755, T:-90.0, Val:(NM), Mod:R_0805_2012Metric
RV1 = X:-8.247915999999996, Y:6.2486809999999995, T:90.0, Val:1k, Mod:Potentiometer_Bourns_3214W_Vertical
RV2 = X:-8.247916, Y:18.948681000000004, T:90.0, Val:1M, Mod:Potentiometer_Bourns_3214W_Vertical
RV3 = X:-8.247916000000002, Y:31.648681000000003, T:90.0, Val:1k, Mod:Potentiometer_Bourns_3214W_Vertical
RV4 = X:-8.247916000000005, Y:44.348681, T:90.0, Val:1M, Mod:Potentiometer_Bourns_3214W_Vertical
RV5 = X:-8.247916000000007, Y:57.048681, T:90.0, Val:1k, Mod:Potentiometer_Bourns_3214W_Vertical
RV6 = X:-8.247916000000009, Y:69.748681, T:90.0, Val:1M, Mod:Potentiometer_Bourns_3214W_Vertical
RV7 = X:-8.253916000000013, Y:91.548681, T:90.0, Val:10K, Mod:Potentiometer_Bourns_3214W_Vertical
TP1 = X:-52.59, Y:49.584999999999994, T:-90.0, Val:PT, Mod:tp_smd_S1751-46R
TP2 = X:-35.26499999999999, Y:17.764999999999997, T:180.0, Val:PT, Mod:tp_smd_S1751-46R
TP3 = X:-35.290000000000006, Y:43.184999999999995, T:0.0, Val:PT, Mod:tp_smd_S1751-46R
TP4 = X:-35.29000000000001, Y:68.58500000000001, T:0.0, Val:PT, Mod:tp_smd_S1751-46R
TP5 = X:-35.29000000000002, Y:88.885, T:0.0, Val:PT, Mod:tp_smd_S1751-46R
U1 = X:-62.276399000000005, Y:79.62032099999999, T:0.0, Val:STM32F205RBT6, Mod:LQFP-64_10x10mm_Pitch0.5mm
U2 = X:-49.74600000000001, Y:39.971999999999994, T:-90.0, Val:STM32F373CCT6, Mod:LQFP-48_7x7mm_Pitch0.5mm
U3 = X:-66.61679999999998, Y:26.670059999999992, T:-90.0, Val:IS62WVS2568FBLL, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U4 = X:-66.61679999999998, Y:39.624059999999986, T:-90.0, Val:IS62WVS2568FBLL, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U5 = X:-23.895000000000017, Y:119.02879999999999, T:-90.0, Val:ICL7665, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U6 = X:-62.29000000000002, Y:141.46, T:0.0, Val:LM317_3PinPackage, Mod:TO-263-2_DISSIP
U7 = X:-35.444400000000016, Y:115.2772, T:180.0, Val:4013, Mod:SOIC-14_3.9x8.7mm_Pitch1.27mm
U8 = X:-14.590000000000016, Y:103.46000000000001, T:0.0, Val:BU4S584G2, Mod:SOT-23-5
U9 = X:-32.33400000000002, Y:100.184, T:180.0, Val:MC33275ST-3.3T3G, Mod:SOT-223-3_TabPin2
U10 = X:-23.981607000000015, Y:101.41613100000001, T:0.0, Val:REF1933, Mod:SOT-23-5
U11 = X:-68.00604, Y:111.54949999999998, T:90.0, Val:PAM2401Y, Mod:DFN-12-1EP_3x3mm_P0.45mm_EP1.66x2.38mm
U12 = X:-46.165000000000006, Y:55.364, T:-90.0, Val:74HC595, Mod:SOIC-16_3.9x9.9mm_Pitch1.27mm
U13 = X:-46.29200000000001, Y:67.048, T:-90.0, Val:74HC595, Mod:SOIC-16_3.9x9.9mm_Pitch1.27mm
U14 = X:-15.867915999999996, Y:7.518681000000002, T:-90.0, Val:OPA2333xxD, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U15 = X:-30.823, Y:7.840999999999999, T:-90.0, Val:OPA2333xxD, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U16 = X:-22.534999999999997, Y:13.868680999999997, T:-90.0, Val:TS5A3159ADBVR, Mod:SOT-23-6
U17 = X:-15.867916, Y:32.91868100000001, T:-90.0, Val:OPA2333xxD, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U18 = X:-30.823000000000008, Y:33.24099999999999, T:-90.0, Val:OPA2333xxD, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U19 = X:-22.535000000000004, Y:39.268681, T:-90.0, Val:TS5A3159ADBVR, Mod:SOT-23-6
U20 = X:-15.867916000000005, Y:58.318681, T:-90.0, Val:OPA2333xxD, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U21 = X:-30.82300000000001, Y:58.641, T:-90.0, Val:OPA2333xxD, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U22 = X:-22.535000000000007, Y:64.668681, T:-90.0, Val:TS5A3159ADBVR, Mod:SOT-23-6
U23 = X:-15.951200000000016, Y:82.7636, T:-90.0, Val:OPA2333xxD, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
U24 = X:-30.879000000000012, Y:82.405, T:-90.0, Val:OPA2333xxD, Mod:SOIC-8_3.9x4.9mm_Pitch1.27mm
Y1 = X:-52.88079900000002, Y:78.219521, T:-90.0, Val:12Mhz, Mod:Crystal_SMD_3225-4pin_3.2x2.5mm
Y2 = X:-51.27000000000001, Y:32.885, T:0.0, Val:32.768KHz, Mod:Crystal_SMD_3215-2pin_3.2x1.5mm

